qGENDER,qAGECODE,qRACECODE,qEDUCATION,qINCOME,qSURVEYZONE,qZIPHOME,qBOROUGH,qLICENSE,qCARACCESS,qSMARTPHONE,qTRIPPLANAPP,qCITIBIKE,gFREIGHT1b_qFREIGHT1_mA,gFREIGHT1b_qFREIGHT2_mA,gFREIGHT1b_qFREIGHT3_mA,gFREIGHT1b_qFREIGHT4_mA,qAUTOVEHICLEFAM,qAUTOVEHICLEWILL,qAUTOVEHICLESAFE,qMARRIED,qBUILDINGb,qRENT,qCHILDREN,qEMPLOYMENT,qEMPLOYMENTCODE,qINDUSTRY,qWORKLOCATION,qWORKFH,Walk,Train/Subway,Bus,Ferry,Access-A-Ride,Membership_CarSharing,Disability_Hearing,Disability_Seeing,Disability_Walking,Disability_DailyActivity,Disability_Mental,Welfare,Freight_Usage
Male,35-44,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Inner Queens,11105.0,Queens,Yes,Yes,Yes,Once a week,No,Less than a few times,A few times a year,Less than a few times,A few times a year,Not very familiar,Not very willing,Somewhat less safe than standard vehicles,Married,A building with 10 to 49 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Media,At an office,"No, do not work from home",Yes,Yes,No,No,No,No,No,No,No,No,No,No,A few times a month
Female,65 or older,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Staten Island,10301.0,Staten Island,Yes,Yes,Yes,A few times a month,No,Less than a few times,Several times a week,Less than a few times,A few times a month,Somewhat familiar,Not very willing,Much less safe than standard vehicles,Married,A one family house attached to one or more houses,Own,None,Employed full time (working more than 30 hours per week),Employed,Education,At a school or day care facility,"No, do not work from home",Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,A few times a month
Female,35-44,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Inner Brooklyn,11215.0,Brooklyn,Yes,Yes,Yes,Daily,Yes,A few times a month,A few times a month,Less than a few times,A few times a month,Somewhat familiar,Somewhat willing,Somewhat safer than standard vehicles,Married,A building with 2 to 9 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,"Professional & Business Services (consulting, legal, marketing)",At an office,"No, do not work from home",Yes,Yes,No,No,No,No,No,No,No,No,No,No,Several times a week
Female,35-44,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Middle Queens,11354.0,Queens,Yes,Yes,Yes,Daily,No,A few times a month,A few times a year,Less than a few times,A few times a year,Not at all familiar,Not very willing,Neither more nor less safe than standard vehicles,Single,A building with 50 or more apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Government,At an office,"No, do not work from home",No,Yes,Yes,No,No,No,No,No,No,No,No,No,A few times a month
Female,18-24,"Other, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Inner Queens,11104.0,Queens,Yes,No,Yes,A few times a month,Yes,Not applied,Not applied,Not applied,A few times a month,Not at all familiar,Not at all willing,Much less safe than standard vehicles,Single,A building with 50 or more apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Financial services,At an office,"No, do not work from home",No,Yes,No,No,No,No,No,No,No,No,No,No,A few times a year
Female,35-44,"Asian, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Northern Manhattan,10032.0,Manhattan,Yes,Yes,Yes,Several times a week,No,Less than a few times,Less than a few times,Less than a few times,A few times a year,Not very familiar,Not very willing,Somewhat less safe than standard vehicles,Single,A one family house detached from any other house,Own,None,Employed full time (working more than 30 hours per week),Employed,Other,At an office,"No, do not work from home",Yes,Yes,No,No,No,No,No,No,No,No,No,No,A few times a month
Male,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999",Southern Bronx,10455.0,The Bronx,No,No,Yes,A few times a year,No,Not applied,Less than a few times,A few times a month,A few times a month,Somewhat familiar,Not very willing,Neither more nor less safe than standard vehicles,Single,A building with 10 to 49 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Other,At an office,"No, do not work from home",No,Yes,No,No,No,No,No,No,No,No,No,No,A few times a year
Male,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Inner Queens,11106.0,Queens,Yes,Yes,Yes,Several times a week,No,Not applied,A few times a month,Not applied,A few times a month,Not very familiar,Not at all willing,Much less safe than standard vehicles,Single,A building with 2 to 9 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Financial services,At an office,"No, do not work from home",Yes,Yes,No,No,No,No,No,No,No,No,No,No,A few times a year
Female,35-44,"White, Non-Hispanic",Some college but degree not received or in progress,"$100,000 - $149,999",Staten Island,10310.0,Staten Island,Yes,Yes,Yes,A few times a month,No,Not applied,A few times a year,A few times a year,A few times a year,Not very familiar,Not very willing,Somewhat less safe than standard vehicles,Married,A one family house attached to one or more houses,Own,Two,Employed part time (working less than 30 hours per week),Employed,Construction,At an office,"No, do not work from home",No,No,No,No,No,No,No,No,No,No,No,No,A few times a month
Male,45-54,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999",Staten Island,10314.0,Staten Island,Yes,Yes,Yes,A few times a year,No,Not applied,A few times a year,Less than a few times,A few times a year,Not at all familiar,Not very willing,Much less safe than standard vehicles,Single,A one family house detached from any other house,Own,None,Employed full time (working more than 30 hours per week),Employed,Construction,At an office,"No, do not work from home",No,No,Yes,No,No,No,No,No,No,No,No,No,A few times a month
Female,45-54,Hispanic,Some college but degree not received or in progress,"$25,000 - $34,999",Northern Bronx,10465.0,The Bronx,Yes,No,Yes,A few times a year,No,Less than a few times,A few times a year,Not applied,A few times a year,Not very familiar,Not at all willing,Much less safe than standard vehicles,Single,A building with 2 to 9 apartments,Rent,One,Employed full time (working more than 30 hours per week),Employed,Transportation and Utilities,At an office,"No, do not work from home",Yes,No,No,No,No,No,No,No,No,No,No,No,A few times a month
Female,35-44,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Northern Manhattan,10032.0,Manhattan,Yes,Yes,Yes,Several times a week,No,A few times a month,A few times a year,Less than a few times,A few times a month,Somewhat familiar,Not very willing,Somewhat less safe than standard vehicles,Married,A building with 50 or more apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Media,At an office,"No, do not work from home",Yes,Yes,No,No,No,No,No,No,No,No,No,No,A few times a month
Female,25-34,"Asian, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Northern Manhattan,10031.0,Manhattan,Yes,No,Yes,Several times a week,Yes,Less than a few times,A few times a year,Less than a few times,A few times a year,Not very familiar,Not very willing,Neither more nor less safe than standard vehicles,Single,A building with 10 to 49 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Non-profit,At an office,"No, do not work from home",Yes,Yes,No,No,No,No,No,No,No,No,No,No,A few times a month
Female,25-34,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Northern Manhattan,10034.0,Manhattan,Yes,No,Yes,Several times a week,No,A few times a year,A few times a year,Less than a few times,A few times a year,Not very familiar,Not very willing,Much less safe than standard vehicles,Single,A building with 50 or more apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Government,At an office,"No, do not work from home",No,Yes,No,No,No,No,No,No,No,No,No,No,A few times a month
Female,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Inner Queens,11103.0,Queens,Yes,No,Yes,Several times a week,No,A few times a month,A few times a month,A few times a month,A few times a month,Not very familiar,Somewhat willing,Don't Know,Living in a committed partnership,A building with 2 to 9 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,"Professional & Business Services (consulting, legal, marketing)",At an office,"No, do not work from home",No,Yes,No,No,No,No,No,No,No,No,No,No,Several times a week
Female,45-54,"White, Non-Hispanic","Associate degree (i.e., AA, AS)","$100,000 - $149,999",Inner Queens,11105.0,Queens,Yes,Yes,Yes,A few times a year,No,Not applied,Less than a few times,Not applied,A few times a month,Not very familiar,Not at all willing,Much less safe than standard vehicles,Single,A one family house attached to one or more houses,Own,None,Employed full time (working more than 30 hours per week),Employed,"Professional & Business Services (consulting, legal, marketing)",At an office,"No, do not work from home",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,A few times a year
Male,45-54,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Inner Brooklyn,11201.0,Brooklyn,Yes,No,Yes,Several times a week,Yes,A few times a month,Less than a few times,Less than a few times,A few times a month,Somewhat familiar,Somewhat willing,Somewhat safer than standard vehicles,Living in a committed partnership,A building with 50 or more apartments,Own,None,Employed full time (working more than 30 hours per week),Employed,Retail,"At a store, restaurant, or hotel","No, do not work from home",No,Yes,No,No,No,Yes,No,No,No,No,No,Public Assistance/Welfare,A few times a month
Female,25-34,Hispanic,"High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Southern Bronx,10454.0,The Bronx,No,Yes,Yes,A few times a month,No,Less than a few times,Less than a few times,Less than a few times,A few times a year,Not at all familiar,Somewhat willing,Somewhat less safe than standard vehicles,Single,A building with 10 to 49 apartments,Rent,None,Employed part time (working less than 30 hours per week),Employed,Manufacturing,Other,"No, do not work from home",Yes,No,No,No,No,No,No,No,No,No,No,No,A few times a month
Male,25-34,"Other, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Northern Manhattan,10033.0,Manhattan,Yes,Yes,Yes,Daily,No,Daily,A few times a month,A few times a month,A few times a year,Not at all familiar,Somewhat willing,Somewhat less safe than standard vehicles,Living in a committed partnership,A building with 10 to 49 apartments,Own,None,Employed full time (working more than 30 hours per week),Employed,Arts & Entertainment,At a school or day care facility,"No, do not work from home",Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Daily
Male,35-44,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Manhattan Core,10011.0,Manhattan,Yes,Yes,Yes,Daily,No,Daily,A few times a month,Daily,A few times a month,Very familiar,Very willing,Much safer than standard vehicles,Married,A building with 2 to 9 apartments,Own,Two,Employed full time (working more than 30 hours per week),Employed,Financial services,"At a store, restaurant, or hotel","No, do not work from home",No,No,No,No,No,Yes,Yes,No,No,No,No,Public Assistance/Welfare,Daily
Male,35-44,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Inner Brooklyn,11212.0,Brooklyn,Yes,Yes,Yes,Once a week,No,A few times a month,A few times a month,A few times a month,A few times a month,Somewhat familiar,Somewhat willing,Somewhat less safe than standard vehicles,Married,A building with 2 to 9 apartments,Rent,Two,Employed full time (working more than 30 hours per week),Employed,Financial services,At an office,"No, do not work from home",No,Yes,No,No,No,Yes,No,No,Yes,No,No,Public Assistance/Welfare,Several times a week
Female,25-34,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$25,000 - $34,999",Inner Queens,11368.0,Queens,Yes,No,Yes,Daily,No,A few times a month,A few times a month,A few times a month,Daily,Not at all familiar,Not very willing,Much less safe than standard vehicles,Married,A one family house attached to one or more houses,Rent,One,Employed full time (working more than 30 hours per week),Employed,Education,At a school or day care facility,"No, do not work from home",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Daily
Female,25-34,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Inner Queens,11102.0,Queens,Yes,No,Yes,Several times a week,No,Several times a week,A few times a month,Not applied,A few times a month,Not very familiar,Not very willing,Somewhat less safe than standard vehicles,Single,A building with 2 to 9 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Education,At an office,"No, do not work from home",Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Several times a week
Male,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Northern Manhattan,10034.0,Manhattan,No,No,Yes,Several times a week,No,Less than a few times,A few times a month,Less than a few times,Less than a few times,Not at all familiar,Not at all willing,Much less safe than standard vehicles,Single,A building with 10 to 49 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Education,At an office,"No, do not work from home",Yes,Yes,No,No,No,No,No,No,No,No,No,No,A few times a month
Male,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Northern Manhattan,10026.0,Manhattan,Yes,Yes,Yes,Daily,No,A few times a month,A few times a month,A few times a month,A few times a month,Very familiar,Very willing,Somewhat safer than standard vehicles,Single,A building with 2 to 9 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Media,At an office,"No, do not work from home",Yes,No,No,No,No,Yes,No,No,No,No,No,No,A few times a month
Female,18-24,"Asian, Non-Hispanic","Associate degree (i.e., AA, AS)","$50,000 - $74,999",Inner Queens,11373.0,Queens,Yes,Yes,Yes,A few times a month,No,A few times a month,A few times a year,A few times a month,A few times a month,Not very familiar,Somewhat willing,Somewhat safer than standard vehicles,Single,A building with 50 or more apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Financial services,At an office,"No, do not work from home",No,Yes,Yes,No,No,No,No,No,No,No,No,No,Several times a week
Female,25-34,"Black, Non-Hispanic","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Southern Bronx,10451.0,The Bronx,No,No,Yes,Daily,No,A few times a month,A few times a year,A few times a month,A few times a year,Not at all familiar,Somewhat willing,Somewhat less safe than standard vehicles,Married,A building with 10 to 49 apartments,Rent,Two,Employed part time (working less than 30 hours per week),Employed,Other,Varying job sites,"No, do not work from home",No,Yes,Yes,No,No,No,No,No,No,No,No,No,A few times a month
Male,25-34,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Staten Island,10009.0,Manhattan,Yes,Yes,Yes,Daily,Yes,Daily,Daily,A few times a month,Daily,Very familiar,Very willing,Much safer than standard vehicles,Married,A one family house attached to one or more houses,Own,Two,Employed full time (working more than 30 hours per week),Employed,Financial services,At an office,"No, do not work from home",Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Public Assistance/Welfare,Daily
Male,25-34,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Middle Queens,11355.0,Queens,Yes,Yes,Yes,Once a month,No,Daily,Daily,Daily,Daily,Not very familiar,Somewhat willing,Somewhat safer than standard vehicles,Married,A one family house detached from any other house,Own,Two,Employed full time (working more than 30 hours per week),Employed,Technology & Telecommunications,At an office,"No, do not work from home",No,No,No,No,No,No,No,No,No,No,No,No,Daily
Male,25-34,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Manhattan,11368.0,Queens,Yes,Yes,Yes,Less than a few times a year,No,A few times a month,A few times a month,A few times a month,A few times a month,Somewhat familiar,Somewhat willing,Somewhat safer than standard vehicles,Married,A one family house attached to one or more houses,Rent,One,Employed full time (working more than 30 hours per week),Employed,Real estate,At an office,"No, do not work from home",No,No,No,No,No,No,No,No,No,No,No,No,Several times a week
Male,25-34,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Inner Queens,11104.0,Queens,No,No,Yes,Several times a week,No,A few times a month,Several times a week,Less than a few times,A few times a year,Somewhat familiar,Somewhat willing,Somewhat less safe than standard vehicles,Single,A building with 10 to 49 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Technology & Telecommunications,At an office,"No, do not work from home",Yes,Yes,No,No,No,No,No,No,No,No,No,No,A few times a month
Female,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Inner Queens,11377.0,Queens,Yes,No,Yes,Several times a week,No,Less than a few times,Less than a few times,Less than a few times,A few times a month,Not at all familiar,Not very willing,Somewhat less safe than standard vehicles,Single,A building with 2 to 9 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,"Professional & Business Services (consulting, legal, marketing)",At an office,"No, do not work from home",Yes,Yes,No,No,No,No,No,No,No,No,No,No,A few times a year
Male,25-34,"Asian, Non-Hispanic","Associate degree (i.e., AA, AS)","$25,000 - $34,999",Outer Queens,11365.0,Queens,Yes,Yes,Yes,A few times a month,No,Several times a week,Several times a week,Several times a week,A few times a year,Somewhat familiar,Somewhat willing,Somewhat safer than standard vehicles,Single,A building with 10 to 49 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Transportation and Utilities,Varying job sites,"No, do not work from home",No,No,No,No,No,No,No,No,No,No,No,No,A few times a month
Male,25-34,Hispanic,"High school graduate or equivalent (i.e., GED)","Less than $14,999",Outer Queens,10005.0,Manhattan,Yes,Yes,Yes,Once a month,No,Several times a week,A few times a month,Several times a week,A few times a year,Not very familiar,Somewhat willing,Somewhat safer than standard vehicles,Married,A building with 2 to 9 apartments,Rent,Two,Employed full time (working more than 30 hours per week),Employed,Manufacturing,At an office,"No, do not work from home",Yes,No,No,No,No,No,No,No,No,No,No,No,Several times a week
Female,65 or older,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Middle Queens,11375.0,Queens,Yes,No,Yes,Less than a few times a year,No,Less than a few times,Less than a few times,Less than a few times,A few times a month,Somewhat familiar,Somewhat willing,Somewhat less safe than standard vehicles,Single,A building with 2 to 9 apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Other,At an office,"No, do not work from home",No,Yes,Yes,No,No,No,No,No,No,No,No,No,A few times a year
Male,25-34,"Black, Non-Hispanic",Some college but degree not received or in progress,"$50,000 - $74,999",Northern Manhattan,10035.0,Manhattan,No,No,Yes,Daily,No,Less than a few times,A few times a month,Less than a few times,A few times a month,Not very familiar,Not very willing,Don't Know,Single,A building with 50 or more apartments,Rent,None,Employed part time (working less than 30 hours per week),Employed,Non-profit,At a school or day care facility,"No, do not work from home",No,Yes,No,No,No,No,No,No,No,No,No,No,A few times a month
Male,35-44,Hispanic,Some college but degree not received or in progress,"$25,000 - $34,999",Outer Brooklyn,11225.0,Brooklyn,No,Yes,Yes,Daily,Yes,Daily,Daily,A few times a month,A few times a month,Not very familiar,Somewhat willing,Somewhat safer than standard vehicles,Living in a committed partnership,A building with 50 or more apartments,Rent,None,Employed full time (working more than 30 hours per week),Employed,Construction,Varying job sites,"No, do not work from home",Yes,No,No,No,No,No,No,No,No,No,No,Public Assistance/Welfare,Daily
Male,35-44,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Staten Island,10303.0,Staten Island,Yes,Yes,Yes,Less than a few times a year,No,A few times a month,A few times a month,Less than a few times,A few times a year,Somewhat familiar,Not at all willing,Much less safe than standard vehicles,Single,A one family house detached from any other house,Own,One,Employed full time (working more than 30 hours per week),Employed,Construction,At an office,"No, do not work from home",Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,A few times a month
